Disease name,Herb ID,Herb name,Ingredient ID,Ingredient name,distance,Z-score,Mean-value,stand_deviation,p-value
Cough Variant Asthma,H5162,SHE GAN,I377,Acetovanillone,2.379679144385027,1.6059107673750064,2.283743315508021,0.059739202716612365,"(0.96,)"
Cough Variant Asthma,H5162,SHE GAN,I1224,Mangiferin,2.4054054054054053,1.701952853457061,2.3052972972972974,0.05881955419902796,"(0.95,)"
Cough Variant Asthma,H3794,MA HUANG,I17,Tetradecanoic acid,2.375661375661376,1.2810728209188744,2.296984126984127,0.06141512597294517,"(0.9,)"
Cough Variant Asthma,H3794,MA HUANG,I18,PENTADECANOIC ACID,2.3008474576271185,4.396485732104525,2.1312711864406775,0.0385708680795076,"(1.0,)"
Cough Variant Asthma,H3794,MA HUANG,I22,HEXANOIC ACID,2.2869198312236287,4.614224145205332,2.1272151898734175,0.03461137481068432,"(1.0,)"
Cough Variant Asthma,H3794,MA HUANG,I33,lauric acid,2.2107438016528924,2.9528474858981317,2.1086776859504135,0.034565319133451525,"(1.0,)"
Cough Variant Asthma,H3794,MA HUANG,I40,kaempferol,2.3015873015873014,-0.42874494840788885,2.3298941798941795,0.06602265149010725,"(0.38,)"
Cough Variant Asthma,H3794,MA HUANG,I45,guaiazulene,3.7142857142857144,1.6010543869198777,3.0875824175824174,0.39143161020841666,"(0.97,)"
Cough Variant Asthma,H3794,MA HUANG,I47,benzaldehyde,2.730769230769231,0.2464854420185372,2.6647252747252743,0.2679426237229443,"(0.68,)"
Cough Variant Asthma,H3794,MA HUANG,I56,quercetin,2.019607843137255,-2.058321554640822,2.0977941176470587,0.037985451949196246,"(0.02,)"
Cough Variant Asthma,H3794,MA HUANG,I60,linoleic acid,2.206422018348624,1.9619392205231563,2.0827064220183487,0.0630578129210782,"(1.0,)"
Cough Variant Asthma,H3794,MA HUANG,I63,Decanoic acid,2.782608695652174,0.7219983605588723,2.609565217391305,0.2396729517874838,"(0.76,)"
Cough Variant Asthma,H3794,MA HUANG,I72,Umbelliferone,2.622950819672131,1.6075076488627098,2.426448087431694,0.12224062036622965,"(0.92,)"
Cough Variant Asthma,H3794,MA HUANG,I79,scopoletin,3.157608695652174,1.7754063129899338,2.6571739130434775,0.281870566161231,"(0.91,)"
Cough Variant Asthma,H3794,MA HUANG,I80,RUTIN,2.622950819672131,0.8551106130331732,2.49983606557377,0.14397523808254348,"(0.9,)"
Cough Variant Asthma,H3794,MA HUANG,I110,CINNAMIC ACID,2.802197802197802,-0.3099372641912054,2.9108791208791205,0.35065586245309044,"(0.39,)"
Cough Variant Asthma,H3794,MA HUANG,I117,naphthalene,2.732620320855615,3.1006556784786015,2.4394117647058824,0.09456340418088635,"(0.96,)"
Cough Variant Asthma,H3794,MA HUANG,I124,STYRENE,2.519125683060109,0.9614338318228943,2.42327868852459,0.0996917222621464,"(0.94,)"
Cough Variant Asthma,H3794,MA HUANG,I135,luteolin,2.195767195767196,0.7449784183277373,2.158201058201058,0.05042580649579517,"(0.78,)"
Cough Variant Asthma,H3794,MA HUANG,I157,Arachidic acid,2.8076923076923075,-0.2574731281756527,2.899065934065934,0.354886069164041,"(0.41,)"
Cough Variant Asthma,H3794,MA HUANG,I170,octanoic acid,2.717391304347826,1.6093798744708088,2.4738586956521744,0.15132077426762242,"(0.9,)"
Cough Variant Asthma,H3794,MA HUANG,I173,palmitic acid,2.0815602836879434,2.2897734820615256,2.0019503546099293,0.03476760024591595,"(1.0,)"
Cough Variant Asthma,H3794,MA HUANG,I174,stearic acid,2.531578947368421,4.007339909776376,2.342263157894737,0.04724225888895181,"(1.0,)"
Cough Variant Asthma,H3794,MA HUANG,I177,1-octanol,3.510989010989011,1.6562470130745335,2.9022527472527475,0.36753953904873815,"(0.99,)"
Cough Variant Asthma,H3794,MA HUANG,I178,benzyl alcohol,2.7032967032967035,0.789342717409067,2.545769230769231,0.1995679051103933,"(0.82,)"
Cough Variant Asthma,H3794,MA HUANG,I192,NONANOIC ACID,3.208791208791209,1.9518303377454005,2.6796153846153845,0.2711177369991525,"(0.98,)"
Cough Variant Asthma,H3794,MA HUANG,I194,PHENANTHRENE,3.7142857142857144,1.6010543869198777,3.0875824175824174,0.39143161020841666,"(0.97,)"
Cough Variant Asthma,H3794,MA HUANG,I241,M-XYLENE,3.3060109289617485,2.6264121481703233,2.6498360655737714,0.24983697392851997,"(1.0,)"
Cough Variant Asthma,H3794,MA HUANG,I267,formononetin,3.157608695652174,1.7754063129899338,2.6571739130434775,0.281870566161231,"(0.91,)"
Cough Variant Asthma,H3794,MA HUANG,I284,p-coumaric acid,2.675675675675676,0.8344857178321514,2.5227567567567566,0.18324929432726064,"(0.86,)"
