herb1,herb2,distance
SHE GAN,MA HUANG,2.277938933
SHE GAN,SHENG JIANG,2.098363261
SHE GAN,XI XIN,2.392707629
SHE GAN,ZI WAN,2.051525641
SHE GAN,KUAN DONG HUA,2.193946025
SHE GAN,DA ZAO,2.177928979
SHE GAN,BAN XIA,2.247151659
SHE GAN,WU WEI ZI,2.030344719
MA HUANG,SHENG JIANG,1.029942955
MA HUANG,XI XIN,1.285176702
MA HUANG,ZI WAN,1.143865585
MA HUANG,KUAN DONG HUA,1.412461933
MA HUANG,DA ZAO,1.145932552
MA HUANG,BAN XIA,1.151275687
MA HUANG,WU WEI ZI,1.539637941
SHENG JIANG,XI XIN,1.457899616
SHENG JIANG,ZI WAN,1.17848352
SHENG JIANG,KUAN DONG HUA,1.189465208
SHENG JIANG,DA ZAO,0.978232102
SHENG JIANG,BAN XIA,1.111314656
SHENG JIANG,WU WEI ZI,1.469742778
XI XIN,ZI WAN,1.365717769
XI XIN,KUAN DONG HUA,1.670632069
XI XIN,DA ZAO,1.578496977
XI XIN,BAN XIA,1.501167227
XI XIN,WU WEI ZI,1.746528141
ZI WAN,KUAN DONG HUA,1.394096213
ZI WAN,DA ZAO,1.369230616
ZI WAN,BAN XIA,1.442389847
ZI WAN,WU WEI ZI,1.371351529
KUAN DONG HUA,DA ZAO,0.918564911
KUAN DONG HUA,BAN XIA,0.984708538
KUAN DONG HUA,WU WEI ZI,1.521690328
DA ZAO,BAN XIA,0.752623263
DA ZAO,WU WEI ZI,1.512809251
BAN XIA,WU WEI ZI,1.695300484
