herb,ingredient
MA HUANG,Tetradecanoic acid
MA HUANG,PENTADECANOIC ACID
MA HUANG,HEXANOIC ACID
MA HUANG,lauric acid
MA HUANG,kaempferol
MA HUANG,guaiazulene
MA HUANG,benzaldehyde
MA HUANG,quercetin
MA HUANG,linoleic acid
MA HUANG,Decanoic acid
MA HUANG,Umbelliferone
MA HUANG,scopoletin
MA HUANG,RUTIN
MA HUANG,CINNAMIC ACID
MA HUANG,naphthalene
MA HUANG,STYRENE
MA HUANG,luteolin
MA HUANG,Arachidic acid
MA HUANG,octanoic acid
MA HUANG,palmitic acid
MA HUANG,stearic acid
MA HUANG,1-octanol
MA HUANG,benzyl alcohol
MA HUANG,NONANOIC ACID
MA HUANG,PHENANTHRENE
MA HUANG,M-XYLENE
MA HUANG,formononetin
MA HUANG,p-coumaric acid
MA HUANG,linolenic acid
MA HUANG,apigenin
MA HUANG,FURFURAL
MA HUANG,Ephedrine
MA HUANG,Matrine
MA HUANG,toluene
MA HUANG,P-CRESOL
MA HUANG,4-methylphenol
MA HUANG,1-HEPTANOL
MA HUANG,BETA-IONONE
MA HUANG,ethanol
MA HUANG,P-XYLENE
MA HUANG,Phenethylamine
MA HUANG,PSEUDOEPHEDRINE
MA HUANG,ISOBUTYRIC ACID
MA HUANG,Norephedrine
MA HUANG,Caffeic acid phenethyl ester
MA HUANG,Xanthohumol
MA HUANG,camphor
MA HUANG,Synephrine
MA HUANG,(E/Z)-ferulic acid
MA HUANG,acetate
MA HUANG,5-HYDROXYMETHYLFURFURAL
MA HUANG,"1,4-DIMETHYLNAPHTHALENE"
MA HUANG,"2,6-DIMETHYLNAPHTHALENE"
MA HUANG,(-)-Norephedrine
MA HUANG,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid"
MA HUANG,Caffeic acid-phenethyl ester
MA HUANG,"3',4',7-Trihydroxyisoflavone"
MA HUANG,phenylpropanolamine
MA HUANG,(+)-Medicarpin
MA HUANG,NSC70861
MA HUANG,8-Prenylnaringenin
ZI SU YE,benzaldehyde
ZI SU YE,caffeic acid
ZI SU YE,BETA-SITOSTEROL
ZI SU YE,Myristicin
ZI SU YE,oleic acid
ZI SU YE,stearic acid
ZI SU YE,Clionasterol
ZI SU YE,L-tyrosine
ZI SU YE,CAMPESTEROL
ZI SU YE,linolenic acid
ZI SU YE,Scutellarin
ZI SU YE,rosmarinic acid
ZI SU YE,eugenol
ZI SU YE,BETA-IONONE
ZI SU YE,PERILLALDEHYDE
ZI SU YE,Luteolin 7-diglucuronide
