herb,ingredient
DA ZAO,Tetradecanoic acid
DA ZAO,HEXANOIC ACID
DA ZAO,Isoeugenol
DA ZAO,OLEANOLIC ACID
DA ZAO,lauric acid
DA ZAO,benzaldehyde
DA ZAO,quercetin
DA ZAO,linoleic acid
DA ZAO,caffeic acid
DA ZAO,BETA-SITOSTEROL
DA ZAO,scopoletin
DA ZAO,RUTIN
DA ZAO,STIGMASTEROL
DA ZAO,CINNAMIC ACID
DA ZAO,Myristicin
DA ZAO,betulinic acid
DA ZAO,hydrocinnamic acid
DA ZAO,Arachidic acid
DA ZAO,octanoic acid
DA ZAO,oleic acid
DA ZAO,palmitic acid
DA ZAO,stearic acid
DA ZAO,benzyl alcohol
DA ZAO,citric acid
DA ZAO,palmitoleic acid
DA ZAO,succinic acid
DA ZAO,Gallic acid
DA ZAO,Elaidic acid
DA ZAO,beta-carotene
DA ZAO,Clionasterol
DA ZAO,L-asparagine
DA ZAO,propionic acid
DA ZAO,pantothenic acid
DA ZAO,pyrocatechol
DA ZAO,ferulic acid
DA ZAO,p-coumaric acid
DA ZAO,adenosine
DA ZAO,protopine
DA ZAO,L-phenylalanine
DA ZAO,L-alanine
DA ZAO,glycine
DA ZAO,uridine
DA ZAO,L-proline
DA ZAO,L-aspartic acid
DA ZAO,L-valine
DA ZAO,thymidine
DA ZAO,linolenic acid
DA ZAO,uracil
DA ZAO,"2-amino-3,7-dihydropurin-6-one"
DA ZAO,adenine
DA ZAO,"3,7-dihydropurin-6-one"
DA ZAO,sucrose
DA ZAO,L-leucine
DA ZAO,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one"
DA ZAO,eugenol
DA ZAO,Sinapyl alcohol
DA ZAO,TRISTEARIN
DA ZAO,ellagic acid
DA ZAO,Cyclic AMP
DA ZAO,"9-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-3H-purin-6-one"
DA ZAO,COUMESTROL
DA ZAO,Nuciferine
DA ZAO,VITAMIN E
DA ZAO,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one"
DA ZAO,xanthine
DA ZAO,Swertisin
DA ZAO,malic acid
DA ZAO,D-Glc
DA ZAO,berberine
DA ZAO,"2,3-Dihydroxysuccinic acid"
DA ZAO,"D,L-Stepholidine"
DA ZAO,"cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate;cyanide"
DA ZAO,"2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol"
DA ZAO,DL-ALPHA-TOCOPHEROL
DA ZAO,DL-PHENYLALANINE
DA ZAO,Acrasin
DA ZAO,d-Tartaric acid
DA ZAO,cis-Caffeic acid
DA ZAO,D-(+)-malic acid
DA ZAO,l-Stepholidine
DA ZAO,D-phenylalanine
