ingre1,ingre2,distance
Acetovanillone,Tetradecanoic acid,2.142857143
Acetovanillone,PENTADECANOIC ACID,2.672131148
Acetovanillone,HEXANOIC ACID,2.64516129
Acetovanillone,lauric acid,2.552238806
Acetovanillone,kaempferol,1.928571429
Acetovanillone,guaiazulene,2.857142857
Acetovanillone,benzaldehyde,1.714285714
Acetovanillone,quercetin,1.655172414
Acetovanillone,linoleic acid,2.046511628
Acetovanillone,Decanoic acid,2.222222222
Acetovanillone,Umbelliferone,2
Acetovanillone,scopoletin,2.777777778
Acetovanillone,RUTIN,2.375
Acetovanillone,CINNAMIC ACID,2.285714286
Acetovanillone,naphthalene,2.5
Acetovanillone,STYRENE,2.25
Acetovanillone,luteolin,2
Acetovanillone,Arachidic acid,2.285714286
Acetovanillone,octanoic acid,2.222222222
Acetovanillone,palmitic acid,2.439252336
Acetovanillone,stearic acid,2.333333333
Acetovanillone,1-octanol,3.142857143
Acetovanillone,benzyl alcohol,2.142857143
Acetovanillone,NONANOIC ACID,3
Acetovanillone,PHENANTHRENE,2.857142857
Acetovanillone,M-XYLENE,2.5
Acetovanillone,formononetin,2.777777778
Acetovanillone,p-coumaric acid,2
Acetovanillone,linolenic acid,2.178571429
Acetovanillone,apigenin,2.076923077
Acetovanillone,FURFURAL,2.285714286
Acetovanillone,Ephedrine,2.142857143
Acetovanillone,Matrine,2
Acetovanillone,toluene,2.222222222
Acetovanillone,P-CRESOL,2.25
Acetovanillone,4-methylphenol,2.25
Acetovanillone,1-HEPTANOL,2.285714286
Acetovanillone,BETA-IONONE,2.285714286
Acetovanillone,ethanol,2.219178082
Acetovanillone,P-XYLENE,2.857142857
Acetovanillone,Phenethylamine,2.4
Acetovanillone,PSEUDOEPHEDRINE,1.916666667
Acetovanillone,ISOBUTYRIC ACID,2.571428571
Acetovanillone,Norephedrine,2.2
Acetovanillone,Caffeic acid phenethyl ester,3.142857143
Acetovanillone,Xanthohumol,2.714285714
Acetovanillone,camphor,2.679487179
Acetovanillone,Synephrine,3.142857143
Acetovanillone,(E/Z)-ferulic acid,1.3
Acetovanillone,acetate,2.412087912
Acetovanillone,5-HYDROXYMETHYLFURFURAL,2.285714286
Acetovanillone,"1,4-DIMETHYLNAPHTHALENE",2.857142857
Acetovanillone,"2,6-DIMETHYLNAPHTHALENE",2.75
