ingre1,ingre2,distance
Tetradecanoic acid,benzaldehyde,2.5555555555555554
Tetradecanoic acid,caffeic acid,2.3636363636363638
Tetradecanoic acid,BETA-SITOSTEROL,2.6
Tetradecanoic acid,Myristicin,3.5555555555555554
Tetradecanoic acid,oleic acid,2.4022988505747125
Tetradecanoic acid,stearic acid,2.235294117647059
Tetradecanoic acid,Clionasterol,2.5555555555555554
Tetradecanoic acid,L-tyrosine,2.090909090909091
Tetradecanoic acid,CAMPESTEROL,3.3333333333333335
Tetradecanoic acid,linolenic acid,2.1333333333333333
Tetradecanoic acid,Scutellarin,2.4444444444444446
Tetradecanoic acid,rosmarinic acid,3.111111111111111
Tetradecanoic acid,eugenol,3.4444444444444446
Tetradecanoic acid,BETA-IONONE,2.4444444444444446
Tetradecanoic acid,PERILLALDEHYDE,2.2222222222222223
Tetradecanoic acid,Luteolin 7-diglucuronide,3.111111111111111
PENTADECANOIC ACID,benzaldehyde,3.0357142857142856
PENTADECANOIC ACID,caffeic acid,2.9310344827586206
PENTADECANOIC ACID,BETA-SITOSTEROL,3.017543859649123
PENTADECANOIC ACID,Myristicin,4.053571428571429
PENTADECANOIC ACID,oleic acid,0.3805970149253731
PENTADECANOIC ACID,stearic acid,2.8125
PENTADECANOIC ACID,Clionasterol,3.017857142857143
PENTADECANOIC ACID,L-tyrosine,2.4782608695652173
PENTADECANOIC ACID,CAMPESTEROL,3.767857142857143
PENTADECANOIC ACID,linolenic acid,2.5714285714285716
PENTADECANOIC ACID,Scutellarin,3.0
PENTADECANOIC ACID,rosmarinic acid,3.6964285714285716
PENTADECANOIC ACID,eugenol,3.982142857142857
PENTADECANOIC ACID,BETA-IONONE,3.0535714285714284
PENTADECANOIC ACID,PERILLALDEHYDE,3.0535714285714284
PENTADECANOIC ACID,Luteolin 7-diglucuronide,3.767857142857143
HEXANOIC ACID,benzaldehyde,3.017543859649123
HEXANOIC ACID,caffeic acid,2.9152542372881354
HEXANOIC ACID,BETA-SITOSTEROL,3.0172413793103448
HEXANOIC ACID,Myristicin,4.035087719298246
HEXANOIC ACID,oleic acid,0.4222222222222222
HEXANOIC ACID,stearic acid,2.830769230769231
HEXANOIC ACID,Clionasterol,3.017543859649123
HEXANOIC ACID,L-tyrosine,2.4714285714285715
HEXANOIC ACID,CAMPESTEROL,3.736842105263158
HEXANOIC ACID,linolenic acid,2.5641025641025643
HEXANOIC ACID,Scutellarin,3.0
HEXANOIC ACID,rosmarinic acid,3.7017543859649122
HEXANOIC ACID,eugenol,3.9649122807017543
HEXANOIC ACID,BETA-IONONE,3.0526315789473686
HEXANOIC ACID,PERILLALDEHYDE,3.0526315789473686
HEXANOIC ACID,Luteolin 7-diglucuronide,3.754385964912281
lauric acid,benzaldehyde,2.9838709677419355
lauric acid,caffeic acid,2.890625
lauric acid,BETA-SITOSTEROL,2.9523809523809526
lauric acid,Myristicin,4.0
lauric acid,oleic acid,0.39285714285714285
lauric acid,stearic acid,2.7142857142857144
lauric acid,Clionasterol,2.9516129032258065
lauric acid,L-tyrosine,2.466666666666667
lauric acid,CAMPESTEROL,3.725806451612903
lauric acid,linolenic acid,2.4819277108433737
lauric acid,Scutellarin,2.903225806451613
lauric acid,rosmarinic acid,3.629032258064516
lauric acid,eugenol,3.935483870967742
lauric acid,BETA-IONONE,3.0
lauric acid,PERILLALDEHYDE,3.0
lauric acid,Luteolin 7-diglucuronide,3.725806451612903
kaempferol,benzaldehyde,2.111111111111111
kaempferol,caffeic acid,2.3636363636363638
kaempferol,BETA-SITOSTEROL,2.5
kaempferol,Myristicin,2.888888888888889
kaempferol,oleic acid,2.5632183908045976
kaempferol,stearic acid,2.3529411764705883
kaempferol,Clionasterol,2.5555555555555554
kaempferol,L-tyrosine,1.8636363636363635
kaempferol,CAMPESTEROL,3.2222222222222223
kaempferol,linolenic acid,2.1666666666666665
kaempferol,Scutellarin,2.6666666666666665
kaempferol,rosmarinic acid,2.7777777777777777
kaempferol,eugenol,2.6666666666666665
kaempferol,BETA-IONONE,2.6666666666666665
kaempferol,PERILLALDEHYDE,2.3333333333333335
kaempferol,Luteolin 7-diglucuronide,3.4444444444444446
guaiazulene,benzaldehyde,3.0
guaiazulene,caffeic acid,3.0
guaiazulene,BETA-SITOSTEROL,3.3333333333333335
guaiazulene,Myristicin,0.0
guaiazulene,oleic acid,3.875
guaiazulene,stearic acid,3.4
guaiazulene,Clionasterol,3.0
guaiazulene,L-tyrosine,3.2
guaiazulene,CAMPESTEROL,4.0
guaiazulene,linolenic acid,3.347826086956522
guaiazulene,Scutellarin,3.0
guaiazulene,rosmarinic acid,4.0
guaiazulene,eugenol,4.0
guaiazulene,BETA-IONONE,3.0
guaiazulene,PERILLALDEHYDE,3.0
guaiazulene,Luteolin 7-diglucuronide,4.0
benzaldehyde,benzaldehyde,0.0
benzaldehyde,caffeic acid,2.0
benzaldehyde,BETA-SITOSTEROL,2.3333333333333335
benzaldehyde,Myristicin,3.0
benzaldehyde,oleic acid,2.875
benzaldehyde,stearic acid,2.6
benzaldehyde,Clionasterol,2.0
benzaldehyde,L-tyrosine,2.3333333333333335
benzaldehyde,CAMPESTEROL,3.0
benzaldehyde,linolenic acid,2.347826086956522
benzaldehyde,Scutellarin,2.0
benzaldehyde,rosmarinic acid,3.0
benzaldehyde,eugenol,3.0
benzaldehyde,BETA-IONONE,2.0
benzaldehyde,PERILLALDEHYDE,2.0
benzaldehyde,Luteolin 7-diglucuronide,3.0
quercetin,benzaldehyde,2.2083333333333335
quercetin,caffeic acid,2.1538461538461537
quercetin,BETA-SITOSTEROL,2.16
quercetin,Myristicin,3.0833333333333335
quercetin,oleic acid,2.0294117647058822
quercetin,stearic acid,2.15625
quercetin,Clionasterol,2.1666666666666665
quercetin,L-tyrosine,1.837837837837838
quercetin,CAMPESTEROL,3.0833333333333335
quercetin,linolenic acid,2.1333333333333333
quercetin,Scutellarin,2.375
quercetin,rosmarinic acid,3.2083333333333335
quercetin,eugenol,3.0416666666666665
quercetin,BETA-IONONE,2.4166666666666665
quercetin,PERILLALDEHYDE,2.2916666666666665
quercetin,Luteolin 7-diglucuronide,3.3333333333333335
linoleic acid,benzaldehyde,2.473684210526316
linoleic acid,caffeic acid,2.275
linoleic acid,BETA-SITOSTEROL,2.4615384615384617
linoleic acid,Myristicin,3.289473684210526
linoleic acid,oleic acid,1.8620689655172413
linoleic acid,stearic acid,1.5869565217391304
linoleic acid,Clionasterol,2.4473684210526314
linoleic acid,L-tyrosine,2.0980392156862746
linoleic acid,CAMPESTEROL,3.3157894736842106
linoleic acid,linolenic acid,0.6779661016949152
linoleic acid,Scutellarin,2.3947368421052633
linoleic acid,rosmarinic acid,3.263157894736842
linoleic acid,eugenol,3.1578947368421053
linoleic acid,BETA-IONONE,2.5
linoleic acid,PERILLALDEHYDE,2.473684210526316
linoleic acid,Luteolin 7-diglucuronide,3.3157894736842106
Decanoic acid,benzaldehyde,2.25
Decanoic acid,caffeic acid,2.1666666666666665
Decanoic acid,BETA-SITOSTEROL,2.4
Decanoic acid,Myristicin,3.0
Decanoic acid,oleic acid,2.841463414634146
Decanoic acid,stearic acid,2.25
Decanoic acid,Clionasterol,2.25
Decanoic acid,L-tyrosine,2.176470588235294
Decanoic acid,CAMPESTEROL,3.0
Decanoic acid,linolenic acid,2.2
Decanoic acid,Scutellarin,2.25
Decanoic acid,rosmarinic acid,3.0
Decanoic acid,eugenol,3.25
Decanoic acid,BETA-IONONE,2.25
Decanoic acid,PERILLALDEHYDE,2.25
Decanoic acid,Luteolin 7-diglucuronide,3.25
Umbelliferone,benzaldehyde,2.3333333333333335
Umbelliferone,caffeic acid,2.2
Umbelliferone,BETA-SITOSTEROL,2.5
Umbelliferone,Myristicin,2.3333333333333335
Umbelliferone,oleic acid,2.814814814814815
Umbelliferone,stearic acid,2.4545454545454546
Umbelliferone,Clionasterol,2.3333333333333335
Umbelliferone,L-tyrosine,2.1875
Umbelliferone,CAMPESTEROL,3.3333333333333335
Umbelliferone,linolenic acid,2.3333333333333335
Umbelliferone,Scutellarin,2.3333333333333335
Umbelliferone,rosmarinic acid,3.3333333333333335
Umbelliferone,eugenol,3.3333333333333335
Umbelliferone,BETA-IONONE,2.3333333333333335
Umbelliferone,PERILLALDEHYDE,2.3333333333333335
Umbelliferone,Luteolin 7-diglucuronide,3.3333333333333335
scopoletin,benzaldehyde,3.0
scopoletin,caffeic acid,2.6666666666666665
scopoletin,BETA-SITOSTEROL,3.0
scopoletin,Myristicin,4.0
scopoletin,oleic acid,3.475609756097561
scopoletin,stearic acid,2.9166666666666665
scopoletin,Clionasterol,3.0
scopoletin,L-tyrosine,2.9411764705882355
scopoletin,CAMPESTEROL,3.5
scopoletin,linolenic acid,2.8
scopoletin,Scutellarin,3.0
scopoletin,rosmarinic acid,3.5
scopoletin,eugenol,1.75
scopoletin,BETA-IONONE,3.0
scopoletin,PERILLALDEHYDE,3.0
scopoletin,Luteolin 7-diglucuronide,3.5
RUTIN,benzaldehyde,2.3333333333333335
RUTIN,caffeic acid,2.2
RUTIN,BETA-SITOSTEROL,2.5
RUTIN,Myristicin,3.3333333333333335
RUTIN,oleic acid,2.7777777777777777
RUTIN,stearic acid,2.1818181818181817
RUTIN,Clionasterol,2.3333333333333335
RUTIN,L-tyrosine,2.25
RUTIN,CAMPESTEROL,3.3333333333333335
RUTIN,linolenic acid,2.1666666666666665
RUTIN,Scutellarin,2.3333333333333335
RUTIN,rosmarinic acid,3.3333333333333335
RUTIN,eugenol,3.3333333333333335
RUTIN,BETA-IONONE,2.3333333333333335
RUTIN,PERILLALDEHYDE,2.3333333333333335
RUTIN,Luteolin 7-diglucuronide,3.3333333333333335
CINNAMIC ACID,benzaldehyde,2.0
CINNAMIC ACID,caffeic acid,1.0
CINNAMIC ACID,BETA-SITOSTEROL,2.3333333333333335
CINNAMIC ACID,Myristicin,3.0
CINNAMIC ACID,oleic acid,2.925
CINNAMIC ACID,stearic acid,2.6
CINNAMIC ACID,Clionasterol,2.0
CINNAMIC ACID,L-tyrosine,2.066666666666667
CINNAMIC ACID,CAMPESTEROL,3.0
CINNAMIC ACID,linolenic acid,2.391304347826087
CINNAMIC ACID,Scutellarin,2.0
CINNAMIC ACID,rosmarinic acid,3.0
CINNAMIC ACID,eugenol,3.0
CINNAMIC ACID,BETA-IONONE,2.0
CINNAMIC ACID,PERILLALDEHYDE,2.0
CINNAMIC ACID,Luteolin 7-diglucuronide,3.0
naphthalene,benzaldehyde,2.7142857142857144
naphthalene,caffeic acid,2.5555555555555554
naphthalene,BETA-SITOSTEROL,2.75
naphthalene,Myristicin,2.7142857142857144
naphthalene,oleic acid,2.6588235294117646
naphthalene,stearic acid,2.533333333333333
naphthalene,Clionasterol,2.7142857142857144
naphthalene,L-tyrosine,2.3
naphthalene,CAMPESTEROL,3.4285714285714284
naphthalene,linolenic acid,2.5
naphthalene,Scutellarin,2.7142857142857144
naphthalene,rosmarinic acid,3.4285714285714284
naphthalene,eugenol,3.7142857142857144
naphthalene,BETA-IONONE,2.5714285714285716
naphthalene,PERILLALDEHYDE,2.7142857142857144
naphthalene,Luteolin 7-diglucuronide,3.4285714285714284
STYRENE,benzaldehyde,2.3333333333333335
STYRENE,caffeic acid,2.0
STYRENE,BETA-SITOSTEROL,2.25
STYRENE,Myristicin,3.3333333333333335
STYRENE,oleic acid,2.740740740740741
STYRENE,stearic acid,2.4545454545454546
STYRENE,Clionasterol,2.0
