Pinyin Name,herb-id
A BI XI NI YA CI TONG,H1
A BI XI NI YA NIU JIN GUO,H2
A ER JI ER DA CHI JI,H3
A ER JI LI YA BU XUE CAO,H4
A ER JI LI YA YUAN WEI,H5
A ER TAI YIN LIAN HUA,H6
A ER TAI ZI WAN,H7
A FU HAN DING XIANG,H8
A FU HAN DU JUAN HUA,H9
A FU HAN TANG JIE,H10
A FU ZE ER MA QIAN ZI,H11
A FU ZE LI SHAN ZHU ZI,H12
A GEN TING SHANG LU,H13
A GU JI TIAN JIE CAI,H14
A JIANG LAN REN.,H15
A LA BO JIAO JIN HE HUAN,H16
A LA BO JIN HE HUAN,H17
A LA BO PO PO NA,H18
A LI HONG,H19
A LI SHAN WU WEI ZI,H20
A LU HA LIANG JIANG,H21
A LUN DUO QIE,H22
A MAN SU DAN MO YAO,H23
A NUO TI HUA JIAO,H24
A SHI HAO,H25
A SU JUE MING,H26
A WEI,H27
A YA PAN ZE LAN,H28
A YU WEI,H29
A YU WEI SHI,H30
A YUE HUN ZI,H31
ACICULAR THOROWAX.,H32
AI DA HUANG,H33
AI DI CHA,H34
AI DI HUANG,H35
AI JI CHE ZHOU CAO,H36
AI JI DA CHI JI,H37
AI JI JIA HU CI,H38
AI JI QIAN LI GUANG,H39
AI JI SHU WEI CAO,H40
AI JI TIAN JING,H41
AI JI ZAI PEI CI TONG,H42
AI JI ZHONG ZHI YUAN WEI,H43
AI JING DOU,H44
AI JU,H45
AI LAI MU,H46
AI LI  SI DUO KONG JUN,H47
AI MA HUANG,H48
AI NA XIANG,H49
AI QIE,H50
AI SAI E BI YA YU SHAN DOU,H51
AI SAI E BI YA ZAO,H52
AI SHENG BO LAN DI.,H53
AI SHENG YA CONG,H54
AI SHI,H55
AI SHI BAI MU,H56
AI SHI TIAN JIE CAI,H57
AI SHI TIANJIE CAI,H58
AI SI XING CI TONG,H59
AI TONG ZI,H60
AI WA JIN GU CAO,H61
AI XI SHOU SHI LI LU,H62
AI XIANG RI KUI,H63
AI YE,H64
AI YE HUANG QIN,H65
AI YE YOU,H66
AI ZI JIN NIU,H67
AN BEI JU,H68
AN CI BAI,H69
AN GE LA  ZI TAN,H70
AN GE LA BA JIAO FENG,H71
AN GE LA BAJ IAO FENG,H72
AN GE LA HUANG GUA,H73
AN GE LA ZI TAN,H74
AN GU SI TU LA SHU,H75
AN HONG TUAN WANG JUN,H76
AN HONG WE LING CAI,H77
AN HONG WEI LING CAI,H78
AN HUANG ZHU SHI DOU,H79
AN HUI BEI MU,H80
AN HUI CONG MU,H81
AN HUI YIN LIAN HUA,H82
AN JI BI LIN,H83
AN LU LONG SHE LAN,H84
AN LUO,H85
AN MO LE,H86
AN NAI JIN,H87
AN SHI JIN SI TAO,H88
AN XI XIANG,H89
AN YE,H90
AN YOU,H91
AN ZI BEI MU,H92
AN ZI YU PAN,H93
AN ZONG TAN TUAN JUN.,H94
AO DA LI YA HONG DOU SHAN,H95
AO DA LI YA QIAN JIN TENG,H96
AO DA LI YA SANG,H97
AO DA LI YA YAN DIAN.,H98
AO DAO LA MU HAI MANG GUO,H99
AO DI LI LIN MAO JUE,H100
AO ER JIA TIAN JIE CAI,H101
AO LEI TONG  QI MU,H102
AO LEI TONG QI MU,H103
AO LI FO HUANG TAN,H104
AO LIE GE LONG DAN,H105
AO MA JIN QUE HUA,H106
AO MAI DING GONG TENG,H107
AO PA CAO.,H108
AO SHE LAN,H109
AO SHI DAN NI  SU MU.,H110
AO SHI JIN SI TAO,H111
AO SHI LONG DAN,H112
AO TOU WU HUAN ZI,H113
AO TOU XIAN,H114
AO TUO ROU DOU KOU,H115
AO XIAN ZI JIN,H116
AO YE HOU PO,H117
AO YE RUI XIANG,H118
AO YE YE BAI HE,H119
AO ZHOU BAI MAI GEN,H120
AO ZHOU JIAN GUO,H121
AO ZHOU QIE,H122
AO ZHOU SHANG LU,H123
AO ZHU SHI DOU,H124
BA BEI SUAN TENG ZI.,H125
BA BI CUI QUE HUA,H126
BA DAN XING REN,H127
BA DOU,H128
BA DOU SHUANG,H129
BA DOU YE,H130
BA FA LI YA LONG DAN,H131
BA I XIAN PI,H132
BA JI,H133
BA JI TIAN,H134
BA JIAO FENG,H135
BA JIAO HUANG PI,H136
BA JIAO HUI  XIANG,H137
BA JIAO HUI XIANG,H138
BA JIAO HUI XIANG YOU,H139
BA JIAO LIAN,H140
BA LA GUI CHA,H141
BA NA MA HE HUAN,H142
BA NA MA SHAN SHI LIU,H143
BA QIA,H144
BA WANG BIAN,H145
BA XI  LUO FU MU,H146
BA XI ER YE TAI,H147
BA XI HU TONG,H148
BA XI MA DOU LING,H149
BA XI QI AN LI GUANG,H150
BA XI QIAN LI GUANG,H151
BA XI QIAO AN MU,H152
BA XI XIANG WU HUAN ZI,H153
BA XI YE YAN,H154
BA XI ZONG ZAO,H155
BA XIA GA,H156
BA XIAN CAO,H157
BA XIAN HUA,H158
BA YUE ZHA,H159
BAI  BEI YE,H160
BAI  NIU XI,H161
BAI BA JIAO LIAN,H162
BAI BEI YE,H163
BAI BIAN DOU,H164
BAI BU,H165
BAI BU GAN GAO,H166
BAI BU JIN GAO,H167
BAI BU LIU JIN GAO,H168
BAI CAO SHUANG,H169
BAI CHA,H170
BAI CHANG,H171
BAI CI,H172
BAI CI  HUA YE,H173
BAI CI GUO TUN CAO,H174
BAI CI HUA,H175
BAI CI HUA GEN,H176
BAI CI HUA YE,H177
BAI CI HUA ZI,H178
BAI CONG,H179
BAI DIAN FENG CHE ZI,H180
BAI DOU KOU,H181
BAI DUAN,H182
BAI E GAO,H183
BAI FAN DOU,H184
BAI FU LING,H185
BAI FU ZI,H186
BAI GEN BAI PI,H187
BAI GOU TENG,H188
BAI GUI BI,H189
BAI GUO,H190
BAI GUO GEN,H191
BAI GUO REN,H192
BAI GUO SHU PI,H193
BAI GUO YE,H194
BAI GUO ZI CAO,H195
BAI HAO,H196
BAI HE,H197
BAI HE HUA,H198
BAI HE LING ZHI,H199
BAI HE LIU JIN GAO,H200
BAI HE ZI,H201
BAI HOU WU TOU,H202
BAI HU JIAO,H203
BAI HUA CAI ZI,H204
BAI HUA DAN,H205
BAI HUA DAN SHEN,H206
BAI HUA GAN XI SHU WEI CAO,H207
BAI HUA HAO,H208
BAI HUA JUE CHUANG,H209
BAI HUA LONG DAN,H210
BAI HUA QIAN HU,H211
BAI HUA SHE,H212
BAI HUA SHE GAN,H213
BAI HUA SHE SHE CAO,H214
BAI HUA SHUI FEI JI,H215
BAI HUA TENG,H216
BAI HUA XIA KU CAO,H217
BAI HUA XIA ZHI CAO,H218
BAI HUA YING SHAN HONG,H219
BAI HUA YING SU,H220
BAI HUA YOU MA TENG,H221
BAI JI,H222
BAI JI LI,H223
BAI JIAN MU,H224
BAI JIANG,H225
BAI JIANG CAN,H226
BAI JIANG CAO,H227
BAI JIAO XIANG,H228
BAI JIE,H229
BAI JIE GENG,H230
BAI JIE ZI,H231
BAI JIN HUA,H232
BAI JU HUA GEN,H233
BAI LA SHU,H234
BAI LAI SHI JU,H235
BAI LAN GEN,H236
BAI LAN HUA,H237
BAI LI LU,H238
BAI LI XIANG,H239
BAI LI XIANG FEN,H240
BAI LI XIANG YE CHUN XIN LIAN,H241
BAI LI XIANG YE MA SANG,H242
BAI LIAN,H243
BAI LIAN ZI,H244
BAI LIANG JIN,H245
BAI LUO BO QING GAO,H246
BAI MA GU,H247
BAI MAO GEN,H248
BAI MAO GEN II,H249
BAI MAO GEN(1),H250
BAI MAO GEN(4),H251
BAI MAO QI,H252
BAI MAO TENG,H253
BAI MAO XIA KU CAO,H254
BAI MAO ZI ZHU,H255
BAI MEI,H256
BAI MEI HUA,H257
BAI MU,H258
BAI MU TONG,H259
BAI MU TONG GEN,H260
BAI MU WU JIU,H261
BAI MU XIANG,H262
BAI NIU DAN,H263
BAI NIU XI,H264
BAI PI SONG,H265
BAI QIAN,H266
BAI QIAN CENG,H267
BAI QU CAI,H268
BAI QU CAI GEN,H269
BAI RI CAO,H270
BAI RI QING,H271
BAI ROU MAO XIANG CHA CAI,H272
BAI RUI CAO,H273
BAI SAN MO HUA,H274
BAI SE BAI XIAN,H275
BAI SHAO,H276
BAI SHAO YAO,H277
BAI SHE GAN,H278
BAI SHOU SHEN,H279
BAI SHOU WU,H280
BAI SHU LANG,H281
BAI SHU YE,H282
BAI SHUI XIAN,H283
BAI SI REN,H284
BAI SU GENG,H285
BAI SU YE,H286
BAI SU ZI,H287
BAI SUI YE,H288
BAI TA GE.,H289
BAI TOU WENG,H290
BAI TOU WENG HUA,H291
BAI TOU WENG JING YE,H292
BAI TU LING,H293
BAI WEI,H294
BAI XIAN PI,H295
BAI XIAN SHU,H296
BAI XIANG CAO MU XI,H297
BAI XIE GEN,H298
BAI XUE GUO MU.,H299
BAI YA MA,H300
BAI YAN TENG,H301
BAI YAO ZI,H302
BAI YE,H303
BAI YE GUA FU MU,H304
BAI YE JING JIE,H305
BAI YE MEI,H306
BAI YE MI ZI LAN,H307
BAI YE TENG,H308
BAI YE XIANG CHA CAI,H309
BAI YING SU,H310
BAI YOU,H311
BAI YU LAN,H312
BAI YU SHAN DOU,H313
BAI YUN HUA,H314
BAI ZHI,H315
BAI ZHI JIE,H316
BAI ZHI JIN GAO FEN,H317
BAI ZHI MA,H318
BAI ZHI YE,H319
BAI ZHU,H320
BAI ZHU SHU,H321
BAI ZI REN,H322
BAN BIAN LIAN,H323
BAN BIAN LIAN ZHUANG LI LU,H324
BAN BIAN QI,H325
BAN BIAN SU,H326
BAN DIAN XIAO QIU QIANG JUN.,H327
BAN GUAN MU MU JU,H328
BAN HUA WU TOU,H329
BAN JIU,H330
BAN JIU JU,H331
BAN JU CHI ZHUANG ZE LAN,H332
BAN KE HU JIAO,H333
BAN LAN,H334
BAN LAN GEN,H335
BAN LI,H336
BAN LI KE,H337
BAN MAO,H338
BAN PI AN,H339
BAN RUI TANG SONG CAO,H340
BAN WEN AN,H341
BAN WEN LU HUI,H342
BAN XIA,H343
BAN XIA QU,H344
BAN YE DI JIN,H345
BAN YE PING FENG CAO,H346
BAN YE PING PENG CAO,H347
BAN YUAN,H348
BAN ZHEN ZHONG HUA SHU.,H349
BAN ZHI LIAN,H350
BAN ZI MA HUANG,H351
BAN ZI MU,H352
BANG BING BEI SAN,H353
